Domain Configuration (domain_conf),Not installed,7.x-3.2
Domain Content (domain_content),Not installed,7.x-3.2
Domain Navigation (domain_nav),Not installed,7.x-3.2
Domain Settings (domain_settings),Not installed,7.x-3.2
Domain Source (domain_source),Not installed,7.x-3.2
Domain Strict (domain_strict),Not installed,7.x-3.2
Domain Theme (domain_theme),Not installed,7.x-3.2
Date Migration Example (date_migrate_example),Not installed,7.x-2.9
Features (features),Enabled,7.x-2.10
Features tools (features_tools),Not installed,7.x-1.5
Full Flexslider (full_flexslider),Not installed,7.x-1.0
Ldap Authorization SimpleTest (ldap_authorization_simpletest1),Not installed,7.x-1.0-beta9
Lehigh EventsCalendar (lehigh_eventscalendar),Not installed,7.x-3.1
Roles (roles),Not installed
Roster Feed importer (roster_feed_importer),Not installed
UUID Services Example (uuid_services_example),Not installed,7.x-1.2
Feed Import (feed_import),Not installed,7.x-2.6
Feeds (feeds),Not installed,7.x-2.0-beta2
Feeds Admin UI (feeds_ui),Not installed,7.x-2.0-beta2
Feeds Import (feeds_import),Not installed,7.x-2.0-beta2
Feeds News (feeds_news),Not installed,7.x-2.0-beta2
Feeds XPath Parser (feeds_xpathparser),Not installed,7.x-1.1
Bundle copy (bundle_copy),Not installed,7.x-1.1
Email (email),Enabled,7.x-1.3
Field Group (field_group),Not installed,7.x-1.6
Field Permissions (field_permissions),Enabled,7.x-1.0-beta2
File (Field) Paths (filefield_paths),Enabled,7.x-1.1
File Field Sources (filefield_sources),Enabled,7.x-1.11
Link (link),Enabled,7.x-1.6
Multiupload Filefield Widget (multiupload_filefield_widget),Not installed,7.x-1.13
Multiupload Imagefield Widget (multiupload_imagefield_widget),Not installed,7.x-1.3
Node Reference (node_reference),Not installed,7.x-2.2
References (references),Not installed,7.x-2.2
References UUID (references_uuid),Not installed,7.x-2.2
User Reference (user_reference),Not installed,7.x-2.2
File Checker (file_checker),Enabled,7.x-1.2
Flex Slider (flexslider),Not installed,7.x-1.0-rc3
Flex Slider Fields (flexslider_fields),Not installed,7.x-1.0-rc3
Flex Slider Views Slideshow (flexslider_views_slideshow),Not installed,7.x-1.0-rc3
Flex Slider Views Style (flexslider_views),Not installed,7.x-1.0-rc3
Calendar Events (calendar_events),Not installed
DeptCal (load_department_calendar_view),Not installed
FullCalendar (fullcalendar),Not installed,7.x-2.0
FullCalendar Colors (fullcalendar_colors),Not installed,7.x-2.0
FullCalendar Legend (fullcalendar_legend),Not installed,7.x-2.0
FullCalendar Options (fullcalendar_options),Not installed,7.x-2.0
View Calendar (view_calendar),Not installed
Pathologic (pathologic),Enabled,7.x-2.12
Adjunct (adjunct),Not installed,7.x-0.1-dev
LDAP Authentication (ldap_authentication),Enabled,7.x-1.0-beta14
LDAP Authorization (ldap_authorization),Not installed,7.x-1.0-beta14
LDAP Authorization - Drupal Roles (ldap_authorization_drupal_role),Not installed,7.x-1.0-beta14
LDAP Authorization - OG (Organic Groups) (ldap_authorization_og),Not installed,7.x-1.0-beta14
LDAP Feeds (ldap_feeds),Not installed,7.x-1.0-beta14
LDAP Help (ldap_help),Not installed,7.x-1.0-beta14
LDAP Profile (ldap_profile),Not installed,7.x-1.0-beta14
LDAP Query (ldap_query),Not installed,7.x-1.0-beta14
LDAP Servers (ldap_servers),Enabled,7.x-1.0-beta14
LDAP SSO (ldap_sso),Not installed,7.x-1.0-beta14
LDAP Views (ldap_views),Not installed,7.x-1.0-beta14
HTML5 Tools (html5_tools),Not installed,7.x-1.2
File entity (file_entity),Enabled,7.x-2.0-unstable2 
IMCE (imce),Enabled,7.x-1.10
IMCE for File Field (imce_filefield),Not installed,7.x-1.1
IMCE Mkdir (imce_mkdir),Not installed,7.x-1.0
IMCE Rename (imce_rename),Enabled,7.x-1.3
jPlayer (jplayer),Not installed,7.x-2.0-beta1
jPlayer Content Protection (jplayer_protect),Not installed,7.x-2.0-beta1
Media (media),Enabled,7.x-2.0-unstable2 
Media Field (mediafield),Not installed,7.x-2.0-unstable2 
Media Internet Sources (media_internet),Not installed,7.x-2.0-unstable2 
Migrate example - Oracle (migrate_example_oracle),Not installed,7.x-2.5
migrate_example_baseball (migrate_example_baseball),Not installed,7.x-2.5
Panels translation (i18n_panels),Not installed,7.x-3.9
Rules translation (rules_i18n),Not installed,7.x-2.2
Navigate (navigate),Not installed,7.x-1.0
Navigate Custom (navigate_custom),Not installed,7.x-1.0
Navigate Favorites (navigate_favorites),Not installed,7.x-1.0
